,ID,sref,tag,annotation
0,mock_session_0,test/vacuum.VacuumCleaner_8.11.1760000-1920000.wav.23q8f9cb.ingestion-6bc8b65f8c-86d4w.wav,vacuum,VacuumCleaner_8
1,mock_session_1,test/vacuum.VacuumCleaner_8.2.320000-480000.wav.23q8f9b7.ingestion-6bc8b65f8c-vrv59.wav,vacuum,VacuumCleaner_8
2,mock_session_2,test/noise.Babble_7.30.4800000-4960000.wav.23q8f8pc.ingestion-6bc8b65f8c-86d4w.wav,noise,Babble_7
3,mock_session_3,test/noise.DWASHING.18.2880000-3040000.wav.23q8f9bu.ingestion-6bc8b65f8c-cfffs.wav,noise,DWASHING
4,mock_session_4,test/vacuum.VacuumCleaner_8.5.800000-960000.wav.23q8f9b4.ingestion-6bc8b65f8c-cfffs.wav,vacuum,VacuumCleaner_8
5,mock_session_5,test/vacuum.VacuumCleaner_1.0.0-160000.wav.23q8f9ah.ingestion-6bc8b65f8c-vrv59.wav,vacuum,VacuumCleaner_1
6,mock_session_6,test/noise.DLIVING.34.5440000-5600000.wav.23q8f97h.ingestion-6bc8b65f8c-vrv59.wav,noise,DLIVING
7,mock_session_7,test/vacuum.VacuumCleaner_3.0.0-160000.wav.23q8f9bm.ingestion-6bc8b65f8c-86d4w.wav,vacuum,VacuumCleaner_3
8,mock_session_8,test/noise.DKITCHEN.10.1600000-1760000.wav.23q8f9b7.ingestion-6bc8b65f8c-86d4w.wav,noise,DKITCHEN
9,mock_session_9,test/noise.Babble_2.1.160000-320000.wav.23q8f91a.ingestion-6bc8b65f8c-vrv59.wav,noise,Babble_2
10,mock_session_10,test/noise.AirConditioner_7.5.800000-960000.wav.23q8f85f.ingestion-6bc8b65f8c-86d4w.wav,noise,AirConditioner_7
11,mock_session_11,test/noise.Babble_9.21.3360000-3520000.wav.23q8f934.ingestion-6bc8b65f8c-cfffs.wav,noise,Babble_9
12,mock_session_12,test/noise.AirConditioner_7.14.2240000-2400000.wav.23q8f8pn.ingestion-6bc8b65f8c-cfffs.wav,noise,AirConditioner_7
13,mock_session_13,test/vacuum.VacuumCleaner_7.3.480000-640000.wav.23q8f99e.ingestion-6bc8b65f8c-cfffs.wav,vacuum,VacuumCleaner_7
14,mock_session_14,test/vacuum.VacuumCleaner_8.6.960000-1120000.wav.23q8f9bv.ingestion-6bc8b65f8c-vrv59.wav,vacuum,VacuumCleaner_8
15,mock_session_15,test/vacuum.VacuumCleaner_8.3.480000-640000.wav.23q8f9at.ingestion-6bc8b65f8c-86d4w.wav,vacuum,VacuumCleaner_8
16,mock_session_16,train/vacuum.VacuumCleaner_8.0.0-160000.wav.23q8ee6b.ingestion-6bc8b65f8c-86d4w.wav,vacuum,VacuumCleaner_8
17,mock_session_17,train/noise.Babble_1.2.320000-480000.wav.23q8e2h3.ingestion-6bc8b65f8c-vrv59.wav,noise,Babble_1
18,mock_session_18,train/vacuum.VacuumCleaner_3.1.160000-320000.wav.23q8eaj3.ingestion-6bc8b65f8c-86d4w.wav,vacuum,VacuumCleaner_3
19,mock_session_19,train/noise.Babble_5.23.3680000-3840000.wav.23q8e3k7.ingestion-6bc8b65f8c-86d4w.wav,noise,Babble_5
20,mock_session_20,train/vacuum.VacuumCleaner_2.2.320000-480000.wav.23q8eaad.ingestion-6bc8b65f8c-cfffs.wav,vacuum,VacuumCleaner_2
21,mock_session_21,train/noise.DLIVING.36.5760000-5920000.wav.23q8e520.ingestion-6bc8b65f8c-86d4w.wav,noise,DLIVING
22,mock_session_22,train/vacuum.VacuumCleaner_7.1.160000-320000.wav.23q8edp2.ingestion-6bc8b65f8c-cfffs.wav,vacuum,VacuumCleaner_7
