ACC_X;ACC_Y;ACC_Z;Timestamps;YYYY-MO-DD;HH-MI-SS_SSS
0.8045;1.4198;9.6798;23;03/27/21;13:46:24:092
0.8906;1.4521;9.6055;43;03/27/21;13:46:24:112
1.1169;1.555;9.5577;63;03/27/21;13:46:24:132
1.3719;1.5239;9.5217;84;03/27/21;13:46:24:153
1.2881;1.5083;9.8857;103;03/27/21;13:46:24:172
1.2977;1.4186;10.0628;123;03/27/21;13:46:24:192
1.3503;1.3036;10.331;143;03/27/21;13:46:24:212
1.3276;1.2821;10.1658;163;03/27/21;13:46:24:232
1.2534;1.4509;9.6295;183;03/27/21;13:46:24:252
1.1133;1.6305;9.2656;203;03/27/21;13:46:24:272
1.0451;1.658;9.1506;223;03/27/21;13:46:24:292
0.9325;1.731;9.0441;243;03/27/21;13:46:24:312
0.972;1.901;8.8681;263;03/27/21;13:46:24:332
1.1013;1.8663;9.0908;283;03/27/21;13:46:24:352
1.1061;1.634;9.5146;304;03/27/21;13:46:24:373
0.9888;1.6029;9.7719;323;03/27/21;13:46:24:392
1.0211;1.5874;9.7731;343;03/27/21;13:46:24:412
1.1289;1.6233;9.5792;363;03/27/21;13:46:24:432
1.1875;1.6652;9.4032;383;03/27/21;13:46:24:452
1.142;1.6915;9.1889;403;03/27/21;13:46:24:472
1.0882;1.7274;9.1722;422;03/27/21;13:46:24:491
0.9996;1.7873;9.2069;443;03/27/21;13:46:24:512
1.0163;1.907;9.1016;463;03/27/21;13:46:24:532
0.9936;1.9225;9.1087;483;03/27/21;13:46:24:552
1.087;1.8399;9.1028;503;03/27/21;13:46:24:572
1.0606;1.901;9.183;523;03/27/21;13:46:24:592
1.1145;1.901;9.1674;543;03/27/21;13:46:24:612
1.1061;1.9836;9.262;564;03/27/21;13:46:24:633
1.1313;1.9632;9.3865;582;03/27/21;13:46:24:651
1.1612;1.9321;9.4607;604;03/27/21;13:46:24:673
1.1672;1.9082;9.5565;624;03/27/21;13:46:24:693
1.1396;1.9812;9.5565;643;03/27/21;13:46:24:712
1.0307;2.0997;9.6486;663;03/27/21;13:46:24:732
1.0175;2.4157;9.5313;683;03/27/21;13:46:24:752
0.6632;2.4936;9.8964;703;03/27/21;13:46:24:772
0.4729;2.3044;10.416;723;03/27/21;13:46:24:792
0.146;1.1779;11.8286;743;03/27/21;13:46:24:812
0.1245;-0.0335;13.3956;763;03/27/21;13:46:24:832
0.7638;-0.4501;12.372;783;03/27/21;13:46:24:852
1.0163;0.0108;11.2527;803;03/27/21;13:46:24:872
1.1791;0.2322;9.7875;824;03/27/21;13:46:24:893
0.7422;0.5926;9.3673;844;03/27/21;13:46:24:913
0.5124;0.8284;9.5409;863;03/27/21;13:46:24:932
-0.3759;0.8068;9.5636;891;03/27/21;13:46:24:960
-0.3759;0.8068;9.5636;903;03/27/21;13:46:24:972
-0.6057;0.9888;8.7712;923;03/27/21;13:46:24:992
-0.6764;1.0918;8.5078;943;03/27/21;13:46:25:012
-0.68;1.0834;8.5617;963;03/27/21;13:46:25:032
-0.6105;1.0331;8.8729;983;03/27/21;13:46:25:052
-0.6297;0.7973;9.4751;1003;03/27/21;13:46:25:072
-0.3172;0.3986;9.8581;1023;03/27/21;13:46:25:092
-0.316;0.3376;10.0137;1043;03/27/21;13:46:25:112
-0.2634;0.4932;9.7552;1063;03/27/21;13:46:25:132
0.0958;1.0259;8.7724;1083;03/27/21;13:46:25:152
0.2011;1.2234;8.6084;1103;03/27/21;13:46:25:172
0.1089;1.2641;8.7891;1123;03/27/21;13:46:25:192
0.067;1.2929;9.0633;1143;03/27/21;13:46:25:212
0.0706;1.3515;9.2476;1163;03/27/21;13:46:25:232
0.1616;1.4533;9.2703;1182;03/27/21;13:46:25:251
0.2143;1.6041;9.0597;1205;03/27/21;13:46:25:274
0.2442;1.6676;8.9771;1223;03/27/21;13:46:25:292
0.255;1.6688;8.9543;1243;03/27/21;13:46:25:312
0.2394;1.6879;8.9435;1263;03/27/21;13:46:25:332
0.3136;1.8447;8.7568;1283;03/27/21;13:46:25:352
0.1927;1.8495;8.9016;1303;03/27/21;13:46:25:372
0.2586;1.8711;8.9447;1323;03/27/21;13:46:25:392
0.3531;1.986;9.2548;1344;03/27/21;13:46:25:413
0.407;2.0243;9.3194;1364;03/27/21;13:46:25:433
0.4154;2.1691;9.3709;1384;03/27/21;13:46:25:453
0.3855;2.1787;9.5409;1404;03/27/21;13:46:25:473
0.2753;2.0889;9.7887;1423;03/27/21;13:46:25:492
0.2849;1.9501;9.9431;1443;03/27/21;13:46:25:512
0.1245;1.9644;10.0592;1463;03/27/21;13:46:25:532
0.1245;1.9764;10.0952;1483;03/27/21;13:46:25:552
0.2119;2.5798;9.8629;1503;03/27/21;13:46:25:572
0.5997;2.6707;10.3418;1523;03/27/21;13:46:25:592
1.0403;1.6424;11.4287;1543;03/27/21;13:46:25:612
0.8775;-0.006;12.9885;1562;03/27/21;13:46:25:631
0.3112;-0.9445;14.2335;1584;03/27/21;13:46:25:653
0.4908;-1.075;14.06;1603;03/27/21;13:46:25:672
0.9601;-0.4022;11.8621;1623;03/27/21;13:46:25:692
1.2917;0.0646;10.0904;1643;03/27/21;13:46:25:712
1.9501;1.1325;7.8841;1663;03/27/21;13:46:25:732
2.2649;1.5826;7.252;1683;03/27/21;13:46:25:752
2.4983;1.5119;7.2484;1702;03/27/21;13:46:25:771
2.3308;1.3216;7.6483;1723;03/27/21;13:46:25:792
1.7166;0.7997;8.7616;1743;03/27/21;13:46:25:812
1.3192;0.0814;9.6905;1763;03/27/21;13:46:25:832
0.8559;-0.1951;10.2232;1784;03/27/21;13:46:25:853
0.832;0.0359;9.6271;1803;03/27/21;13:46:25:872
0.9349;0.4441;8.5258;1823;03/27/21;13:46:25:892
1.0259;0.6847;7.8781;1843;03/27/21;13:46:25:912
0.9828;1.2342;8.0218;1864;03/27/21;13:46:25:933
0.9828;1.2342;8.0218;1883;03/27/21;13:46:25:952
1.0187;1.3467;8.7532;1902;03/27/21;13:46:25:971
1.0846;1.3455;8.922;1923;03/27/21;13:46:25:992
1.1301;1.3396;9.183;1943;03/27/21;13:46:26:012
1.1157;1.2833;9.3925;1962;03/27/21;13:46:26:031
1.0846;1.336;9.4846;1984;03/27/21;13:46:26:053
1.0738;1.4054;9.4691;2003;03/27/21;13:46:26:072
1.1396;1.6293;9.1602;2023;03/27/21;13:46:26:092
1.1552;1.6927;8.9974;2043;03/27/21;13:46:26:112
1.1289;1.7633;8.9603;2063;03/27/21;13:46:26:132
0.978;1.8507;9.2165;2084;03/27/21;13:46:26:153
1.0678;1.9549;9.2009;2103;03/27/21;13:46:26:172
1.1396;2.0111;9.1722;2123;03/27/21;13:46:26:192
1.2163;2.0949;9.1111;2143;03/27/21;13:46:26:212
1.2019;1.9501;9.4619;2163;03/27/21;13:46:26:232
1.5215;1.8507;9.7659;2183;03/27/21;13:46:26:252
1.2689;1.81;10.0281;2203;03/27/21;13:46:26:272
1.1648;1.7538;10.2651;2223;03/27/21;13:46:26:292
0.8894;2.1883;10.1969;2243;03/27/21;13:46:26:312
0.2059;2.5055;10.2484;2263;03/27/21;13:46:26:332
0.2059;2.5055;10.2484;2282;03/27/21;13:46:26:351
-0.3974;1.3815;11.6717;2303;03/27/21;13:46:26:372
-0.7745;-0.2095;13.8744;2323;03/27/21;13:46:26:392
